feature,importance,normalized_importance,method
area_worst,0.13035321379459658,0.13035321379459658,model_feature_importances
perimeter_worst,0.11492284322496826,0.11492284322496826,model_feature_importances
concave points_worst,0.09897678810128788,0.09897678810128788,model_feature_importances
concave points_mean,0.08192355099075369,0.08192355099075369,model_feature_importances
radius_worst,0.07093143699213135,0.07093143699213135,model_feature_importances
concavity_mean,0.060604563554051034,0.060604563554051034,model_feature_importances
perimeter_mean,0.05881133532961796,0.05881133532961796,model_feature_importances
radius_mean,0.055809309621877065,0.055809309621877065,model_feature_importances
area_mean,0.05360505358879549,0.05360505358879549,model_feature_importances
area_se,0.03984871011184521,0.03984871011184521,model_feature_importances
concavity_worst,0.03774164184768166,0.03774164184768166,model_feature_importances
compactness_mean,0.019955027055222528,0.019955027055222528,model_feature_importances
texture_worst,0.019295096228797215,0.019295096228797215,model_feature_importances
compactness_worst,0.018520968463786976,0.018520968463786976,model_feature_importances
perimeter_se,0.015711755382663863,0.015711755382663863,model_feature_importances
smoothness_worst,0.014888555709306315,0.014888555709306315,model_feature_importances
radius_se,0.014879899402930174,0.014879899402930174,model_feature_importances
symmetry_worst,0.013776251322923868,0.013776251322923868,model_feature_importances
texture_mean,0.013400639831227952,0.013400639831227952,model_feature_importances
concavity_se,0.011584873770004764,0.011584873770004764,model_feature_importances
smoothness_mean,0.007823598491215496,0.007823598491215496,model_feature_importances
fractal_dimension_se,0.006174800087268146,0.006174800087268146,model_feature_importances
concave points_se,0.006037728689975573,0.006037728689975573,model_feature_importances
compactness_se,0.005555467056857405,0.005555467056857405,model_feature_importances
fractal_dimension_worst,0.005506770329103797,0.005506770329103797,model_feature_importances
texture_se,0.004925308371459308,0.004925308371459308,model_feature_importances
symmetry_se,0.004918265041962801,0.004918265041962801,model_feature_importances
symmetry_mean,0.004705848174189367,0.004705848174189367,model_feature_importances
smoothness_se,0.004507970805279323,0.004507970805279323,model_feature_importances
fractal_dimension_mean,0.004302728628219011,0.004302728628219011,model_feature_importances

