feature_1,feature_2,correlation,absolute_correlation
radius_mean,perimeter_mean,0.9978552814938109,0.9978552814938109
radius_worst,perimeter_worst,0.993707916102949,0.993707916102949
radius_mean,area_mean,0.9873571700566127,0.9873571700566127
perimeter_mean,area_mean,0.9865068039913907,0.9865068039913907
radius_worst,area_worst,0.9840145644590742,0.9840145644590742
perimeter_worst,area_worst,0.9775780914063871,0.9775780914063871
radius_se,perimeter_se,0.9727936770160764,0.9727936770160764
perimeter_mean,perimeter_worst,0.9703868870426394,0.9703868870426394
radius_mean,radius_worst,0.9695389726112055,0.9695389726112055
perimeter_mean,radius_worst,0.9694763634663146,0.9694763634663146
radius_mean,perimeter_worst,0.9651365139559871,0.9651365139559871
area_mean,radius_worst,0.9627460860470841,0.9627460860470841
area_mean,area_worst,0.9592133256498998,0.9592133256498998
area_mean,perimeter_worst,0.9591195743552645,0.9591195743552645
radius_se,area_se,0.951830112110991,0.951830112110991
perimeter_mean,area_worst,0.9415498080023068,0.9415498080023068
radius_mean,area_worst,0.9410824595860461,0.9410824595860461
perimeter_se,area_se,0.9376554069544157,0.9376554069544157
concavity_mean,concave points_mean,0.9213910263788588,0.9213910263788588
texture_mean,texture_worst,0.912044588840421,0.912044588840421
concave points_mean,concave points_worst,0.9101553142985918,0.9101553142985918

