feature,lower_bound,upper_bound,count,percentage
area_se,-23.15999999999999,86.19999999999999,65,11.423550087873462
radius_se,-0.13735000000000003,0.84865,38,6.6783831282952555
perimeter_se,-1.0205,5.9835,38,6.6783831282952555
area_worst,-337.7500000000001,1937.0500000000002,35,6.151142355008787
smoothness_se,0.0007034999999999993,0.012611500000000001,30,5.272407732864675
compactness_se,-0.015974999999999996,0.061505,28,4.92091388400703
fractal_dimension_se,-0.0012170000000000006,0.008023,28,4.92091388400703
symmetry_se,0.0026799999999999984,0.035960000000000006,27,4.745166959578207
area_mean,-123.30000000000001,1326.3000000000002,25,4.393673110720562
fractal_dimension_worst,0.04053,0.12301,24,4.21792618629174
symmetry_worst,0.14915,0.41915,23,4.042179261862917
concavity_se,-0.025349999999999998,0.08249,22,3.8664323374340945
texture_se,-0.12625000000000008,2.43415,20,3.5149384885764503
concave points_se,-0.0029700000000000013,0.025318,19,3.3391915641476277
concavity_mean,-0.12215000000000001,0.28241000000000005,18,3.163444639718805
radius_worst,4.340000000000002,27.459999999999997,17,2.987697715289982
compactness_mean,-0.03329999999999997,0.22861999999999996,16,2.8119507908611596
compactness_worst,-0.14065000000000005,0.6269500000000001,16,2.8119507908611596
symmetry_mean,0.11119999999999995,0.24640000000000006,15,2.6362038664323375
fractal_dimension_mean,0.045070000000000006,0.07874999999999999,15,2.6362038664323375
perimeter_worst,22.17499999999999,187.335,15,2.6362038664323375
radius_mean,5.579999999999999,21.9,14,2.460456942003515
perimeter_mean,31.775000000000013,147.49499999999998,13,2.2847100175746924
concavity_worst,-0.2881000000000001,0.7855000000000001,12,2.10896309314587
concave points_mean,-0.060224999999999994,0.15453499999999998,10,1.7574692442882252
texture_mean,7.725000000000003,30.244999999999997,7,1.2302284710017575
smoothness_worst,0.07250000000000001,0.1901,7,1.2302284710017575
smoothness_mean,0.057975,0.133695,6,1.054481546572935
texture_worst,8.119999999999997,42.68,5,0.8787346221441126
concave points_worst,-0.07977499999999997,0.30610499999999996,0,0.0

