feature,importance,normalized_importance
cp,0.14918483868010624,0.1491848386801062
thalach,0.11407747689091122,0.11407747689091119
ca,0.11262307825498574,0.11262307825498571
oldpeak,0.10009990330018569,0.10009990330018566
age,0.09581918023833427,0.09581918023833425
thal,0.09493130761118657,0.09493130761118654
chol,0.08003675134410525,0.08003675134410523
exang,0.0743627696310178,0.07436276963101779
trestbps,0.07050772579847182,0.07050772579847181
slope,0.04769923446598942,0.04769923446598941
sex,0.03228413770101453,0.03228413770101452
restecg,0.018685164355929706,0.018685164355929703
fbs,0.009688431727761793,0.009688431727761791

